1,VERB,Verbund AG Kat. A,Vienna,Utilities,Electrical Utilities & IPPs,€26.43B,14x,-1.02,€76.30,0.6%
2,ERST,Erste Group Bank AG,Vienna,Financials,Banking Services,€19.40B,6.6x,0.23,€47.50,1.5%
3,OMVV,OMV AG,Vienna,Energy,Oil & Gas,€12.86B,8.2x,-0.44,€39.18,1.2%
4,TELA,Telekom Austria,Vienna,Technology,Telecommunications Services,€5.80B,9.6x,-1.9,€8.75,1.2%
5,LUNAM,H Lundbeck AS,Vienna,Healthcare,Pharmaceuticals,€5.61B,14.8x,13.89,€5.02,0%
6,RBIV,Raiffeisen Bank,Vienna,Financials,Banking Services,€5.58B,2.3x,-0.1,€16.93,0.7%
7,ANDR,Andritz AG,Vienna,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€5.54B,10.9x,1.37,€55.90,0%
8,EVNV,EVN AG,Vienna,Utilities,Electrical Utilities & IPPs,€5.35B,10.4x,0.14,€30,0.3%
9,BAWG,BAWAG,Vienna,Financials,Banking Services,€5.28B,7.9x,0.08,€67.50,1.4%
10,OBER,Oberbank AG ST,Vienna,Financials,Banking Services,€4.94B,14.2x,1.66,€70,0%
11,STRV,Strabag SE,Vienna,Industrials,Construction & Engineering,€4.54B,6.1x,0.2,€38.50,-0.4%
12,STRB,STRABAG SE,Vienna,Industrials,Construction & Engineering,€4.54B,6.1x,0.2,€38,0%
13,VIEV,Flughafen Wien AG,Vienna,Industrials,Transport Infrastructure,€4.45B,23.8x,0.55,€54,1.9%
14,IMFI,Immofinanz,Vienna,Real Estate,Real Estate Operations,€4.09B,-27.6x,0.1,€29.80,1%
15,VIGR,Vienna Insurance AG,Vienna,Financials,Insurance,€3.84B,7x,0.37,€30.10,0.7%
16,VOES,Voestalpine,Vienna,Basic Materials,Metals & Mining,€3.67B,56.5x,-0.59,€21.30,-0.4%
17,CAIV,CA Immobilien Anlagen AG,Vienna,Real Estate,Real Estate Operations,€3.17B,-13.2x,0.02,€32.40,0.7%
18,WBSV,Wienerberger AG,Vienna,Basic Materials,Construction Materials,€3.07B,14.2x,-0.24,€29.10,0.7%
19,UNIQ,Uniqa Insurance AG,Vienna,Financials,Insurance,€2.35B,7.8x,0.4,€7.68,0.3%
20,MMKV,Mayr Melnhof Karton,Vienna,Basic Materials,Containers & Packaging,€2.10B,33.1x,-0.41,€105.20,1.5%
21,POST,Oesterr. Post AG,Vienna,Industrials,Freight & Logistics Services,€2.02B,15.2x,-1.56,€29.60,0.2%
22,TIRO,Bank fuer Tirol,Vienna,Financials,Banking Services,€1.89B,10.1x,0.2,€51,0%
23,DOCO,DO & CO,Vienna,Consumer Cyclicals,Hotels & Entertainment Services,€1.63B,23x,0.52,€148.40,0.3%
24,SIAG,S Immo Ag,Vienna,Real Estate,Real Estate Operations,€1.60B,-66.9x,0.09,€22.80,0.4%
25,LENV,Lenzing AG,Vienna,Basic Materials,Chemicals,€1.20B,-1.9x,0.02,€31.25,2.5%
26,PKTM,PIERER Mobility AG,Vienna,Consumer Cyclicals,Automobiles & Auto Parts,€898.99M,11.2x,-0.22,€26.60,-1.9%
27,AMAV,Amag Austria Metall AG,Vienna,Basic Materials,Metals & Mining,€856.92M,17.6x,-0.43,€24.30,0%
28,PALF,Palfinger AG,Vienna,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€763.13M,6.8x,0.37,€21.90,-0.2%
29,AGRV,Agrana Beteiligungs,Vienna,Consumer Non-Cyclicals,Food & Tobacco,€756.12M,17.2x,0.12,€12.15,0%
30,KAER,BKS Bank AG,Vienna,Financials,Banking Services,€696.96M,3.9x,0.04,€15.30,0%
31,ETS,EuroTeleSites,Vienna,Industrials,Construction & Engineering,€639.58M,10.4x,,€3.90,1.3%
32,ABGV,Porr AG,Vienna,Industrials,Construction & Engineering,€539.69M,6x,0.18,€14.10,1.9%
33,SBOE,Schoeller-Bleckmann AG,Vienna,Energy,Oil & Gas Related Equipment and Services,€529.52M,8.1x,-0.36,€33.65,0.4%
34,ADKO,Addiko Bank,Vienna,Financials,Banking Services,€387.67M,8.4x,0.19,€19.80,-1.5%
35,FACC,Facc AG,Vienna,Industrials,Aerospace & Defense,€359.91M,33.7x,0.04,€7.75,2.8%
36,RBAV,Rosenbauer,Vienna,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€259.76M,52.7x,0.4,€38.10,0.8%
37,ZUMV,Zumtobel AG,Vienna,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€234.18M,9.6x,-0.16,€5.52,0.4%
38,SMPV,Semperit AG Holding,Vienna,Consumer Cyclicals,Automobiles & Auto Parts,€233.30M,-15.9x,0.43,€11.34,-0.4%
39,BHAV,Burgenland Holding AG,Vienna,Utilities,Electrical Utilities & IPPs,€216M,19x,1.85,€72,-2%
40,FKAV,Frauenthal,Vienna,Consumer Non-Cyclicals,Consumer Goods Conglomerates,€205.91M,14.3x,-0.2,€23.80,0%
41,MANV,Josef Manner Comp AG,Vienna,Consumer Non-Cyclicals,Food & Tobacco,€194.67M,38.7x,1.14,€103,0%
42,UBMV,UBM Development,Vienna,Real Estate,Real Estate Operations,€158.41M,-2.6x,0,€21.50,0.9%
43,BEAG,:Be,Vienna,Financials,Investment Holding Companies,€140M,109.9x,,€2.80,0%
44,KTCG,Kapsch Traffic,Vienna,Technology,Communications & Networking,€126.41M,5.1x,0.03,€8.84,0%
45,ATHO,Athos Immobilien,Vienna,Real Estate,Real Estate Operations,€71.52M,218.1x,-3.78,€41,0%
46,POLV,Polytec,Vienna,Consumer Cyclicals,Automobiles & Auto Parts,€71.27M,-5.7x,0.03,€3.24,0%
47,KES,Kostad,Vienna,Technology,Software & IT Services,€64.60M,,,€3.80,0%
48,LTXV,Linz Textil Holding AG,Vienna,Consumer Cyclicals,Textiles & Apparel,€51.90M,11.3x,0.28,€173,0%
49,AAGN,Aventa,Vienna,Real Estate,Real Estate Operations,€44.80M,-6.9x,,€1,0%
50,RWTA,Rwt AG,Vienna,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€44.55M,,,€3.30,0%
51,RATV,Rath AG,Vienna,Basic Materials,Construction Materials,€39.30M,7.5x,0.3,€26.20,0%
52,WXFB,Warimpex Ag,Vienna,Industrials,Construction & Engineering,€36.44M,-1.4x,0.01,€0.68,0.6%
53,WPBI,Wiener Privatbank SE,Vienna,Financials,Banking Services,€35.53M,12.6x,0.48,€7.10,0%
54,SWUT,SW Umwelttechnik Stoiser Wolschner,Vienna,Industrials,Construction & Engineering,€31.65M,3.1x,-1.61,€43.60,0%
55,HSTV,Hutter & Schrantz Stahlbau,Vienna,Industrials,Construction & Engineering,€30.51M,33.5x,,€20.40,1%
56,WLFD,Wolford,Vienna,Consumer Cyclicals,Textiles & Apparel,€29.65M,-0.9x,-0.02,€3.10,0%
57,GAGV,Gurktaler AG VZ,Vienna,Consumer Non-Cyclicals,Beverages,€27.36M,13.8x,0.3,€10,0%
58,GAGS,Gurktaler AG ST,Vienna,Consumer Non-Cyclicals,Beverages,€27.36M,13.8x,0.3,€13,0%
59,MLZV,Stadlauer Malzfabrik,Vienna,Consumer Non-Cyclicals,Beverages,€27.10M,12.8x,0.08,€48.40,0%
60,VAS,VAS AG,Vienna,,,€24M,,,€8,0%
61,ICGI,Incergo,Vienna,,,€10.32M,,,€2.04,1%
62,MARI,Marinomed Biotech AG,Vienna,Healthcare,Pharmaceuticals,€9.24M,,,€5,-16.7%
63,BIOE,Biogena Group Invest AG,Vienna,Financials,Investment Banking & Investment Services,€7.34M,,,€1.80,0%
64,HUTV,Hutter & Schrantz,Vienna,Basic Materials,Metals & Mining,€6.71M,22.9x,,€13.50,0%
65,HEDV,Maschinenfabrik Heid AG,Vienna,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€5.52M,1.5x,0,€1.40,0%
66,CLEN,Cleen Energy,Vienna,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€5.34M,,,€1.30,0%
67,VQLA,VOQUZ Labs,Vienna,Technology,Software & IT Services,€5.25M,,,€5,0%
68,EIOS,Enry's Island SpA Societa Benefit,Vienna,Financials,Investment Banking & Investment Services,€3.46M,,,€66,-2.2%
69,BALG,BAL Germany Prf,Vienna,Real Estate,Real Estate Operations,€1.60M,-208.4x,,€0.80,0%
70,ROR1,SunMirror AG,Vienna,Financials,Investment Holding Companies,€1.39M,,,€0.58,0%
71,MERV,MERIDIANA Blockchain Ventures SE,Vienna,Technology,Financial Technology (Fintech) & Infrastructure,€120.61K,,,€0.34,0%
