1,ALBH,Aluminium Bahrain BSC,Bahrain,Basic Materials,Metals & Mining,BHD 1.49B,15.8x,-0.22,BHD 1.05,1%
2,NATB,National Bank Bahrain,Bahrain,Financials,Banking Services,BHD 1.14B,13.2x,0.63,BHD 0.50,0.2%
3,BBKB,BBK,Bahrain,Financials,Banking Services,BHD 902.87M,12.2x,2.67,BHD 0.50,0%
4,BEYON,Bahrain Telecom Co,Bahrain,Technology,Telecommunications Services,BHD 834.65M,11.5x,3.59,BHD 0.50,0%
5,SALAM,Al Salam Bank,Bahrain,Financials,Banking Services,BHD 592.27M,12.2x,0.4,BHD 0.22,0.5%
6,GFHB,GFH Financial BSC,Bahrain,Financials,Investment Banking & Investment Services,BHD 441.09M,10.2x,1.65,BHD 0.12,0.6%
7,ABCB,Arab Banking Corp,Bahrain,Financials,Banking Services,BHD 392.08M,4.1x,0.17,BHD 0.13,0%
8,APMTB,APM Terminal,Bahrain,Industrials,Transport Infrastructure,BHD 106.20M,12.3x,0.29,BHD 1.18,-3.3%
9,KHALEEJI,Khaleeji Bank,Bahrain,Financials,Banking Services,BHD 92.04M,17x,-0.41,BHD 0.09,1.2%
10,GHG,Gulf Hotel,Bahrain,Consumer Cyclicals,Hotels & Entertainment Services,BHD 90.40M,12.1x,-0.85,BHD 0.40,-2.4%
11,BMMI,BMMI BSC,Bahrain,Consumer Non-Cyclicals,Food & Drug Retailing,BHD 79.01M,13.9x,4.65,BHD 0.56,-0.9%
12,DUTY,Bahrain Duty Free,Bahrain,Industrials,Transport Infrastructure,BHD 66.87M,12.1x,0.45,BHD 0.47,1.1%
13,BCFC,Bahrain Commercial Facilities,Bahrain,Financials,Banking Services,BHD 64.46M,-2.3x,0,BHD 0.32,0%
14,BISB,Bahrain Islamic Bank,Bahrain,Financials,Banking Services,BHD 63.49M,12x,-0.33,BHD 0.06,0%
15,BNHB,Bahrain National Hld,Bahrain,Financials,Insurance,BHD 59.83M,11.2x,1.34,BHD 0.50,5.7%
16,SEEF,Seef Properties,Bahrain,Real Estate,Real Estate Operations,BHD 55.20M,9.2x,-19.77,BHD 0.12,-1.6%
17,SOLID,Solidarity Bahrain BSC,Bahrain,Financials,Insurance,BHD 49.31M,10.9x,0.54,BHD 0.37,2.8%
18,BKIC,Bahrain Kuwait Insurance,Bahrain,Financials,Insurance,BHD 47.25M,9.4x,-0.77,BHD 0.32,-9.9%
19,ZAIN,Zain Bahrain Bsc,Bahrain,Technology,Telecommunications Services,BHD 41.85M,7.7x,-3.31,BHD 0.12,0.9%
20,EICB,Esterad Investment,Bahrain,Financials,Investment Banking & Investment Services,BHD 37.36M,6.7x,0.05,BHD 0.25,1.2%
21,ITHMR,Ithmaar,Bahrain,Financials,Banking Services,BHD 28.52M,-4.7x,-0.09,BHD 0.010,-7.1%
22,NHTL,National Hotels Co,Bahrain,Consumer Cyclicals,Hotels & Entertainment Services,BHD 26.44M,11.5x,-0.36,BHD 0.22,-0.9%
23,BSRC,Bah. Ship Repairing,Bahrain,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",BHD 21.77M,9.2x,0.1,BHD 1.10,0%
24,GTFP,Trafco BSC,Bahrain,Consumer Non-Cyclicals,Food & Drug Retailing,BHD 21.52M,11.6x,0.82,BHD 0.29,0%
25,CNCO,Bahrain Cinema,Bahrain,Consumer Cyclicals,Hotels & Entertainment Services,BHD 18.61M,-8.2x,0.03,BHD 0.24,0%
26,NASS,Nass Corp BSC,Bahrain,Industrials,Construction & Engineering,BHD 17.85M,-9.2x,-0.9,BHD 0.08,9.2%
27,EBRIT,Eskan Bank,Bahrain,Real Estate,Residential & Commercial REITs,BHD 11.88M,15x,,BHD 0.06,0%
28,PARK,Bahrain Car Park,Bahrain,Industrials,Transport Infrastructure,BHD 11.59M,10.6x,0.5,BHD 0.11,0%
29,BFMC,Bahrain Flour Mills,Bahrain,Consumer Non-Cyclicals,Food & Tobacco,BHD 9.19M,8.2x,0.01,BHD 0.37,8.8%
30,UGIC,United Gulf Invest,Bahrain,Financials,Investment Banking & Investment Services,BHD 8.40M,7x,0.05,BHD 0.04,-19.2%
31,DPCB,Delmon Poultry Co,Bahrain,Consumer Non-Cyclicals,Food & Tobacco,BHD 5.97M,6.1x,0.01,BHD 0.19,0%
