1,BKOM,Komercni Banka,Prague,Financials,Banking Services,CZK 143.81B,9.7x,,CZK 762,0.2%
2,MONET,Moneta Money Bank,Prague,Financials,Banking Services,CZK 53.25B,9.8x,0.75,CZK 104.40,0.2%
3,TABK,Philip Morris CR,Prague,Consumer Non-Cyclicals,Food & Tobacco,CZK 42.06B,12.6x,-1.55,"CZK 15,320",0.5%
4,CZG,Colt CZ SE,Prague,Industrials,Aerospace & Defense,CZK 33.24B,13.6x,-0.75,CZK 654,-0.9%
5,1TMR001E,Tatry Mountain,Prague,Consumer Cyclicals,Hotels & Entertainment Services,CZK 6.48B,-263.2x,-5.48,CZK 525,1%
6,KOFOL,Kofola CeskoSlovensko as,Prague,Consumer Non-Cyclicals,Beverages,CZK 6.48B,21x,-5.14,CZK 305,0.7%
7,GEV,GEVORKYAN,Prague,,,CZK 4.26B,46.1x,4.73,CZK 256,0%
8,PRIUA,Primoco UAV SE,Prague,Real Estate,Real Estate Operations,CZK 4B,20.6x,,CZK 850,0%
9,SABFG,SAB Finance as,Prague,Financials,Investment Banking & Investment Services,CZK 3.26B,13.1x,,"CZK 1,060",-0.9%
10,ENEQ,Energoaqua as,Prague,Real Estate,Real Estate Operations,CZK 2.68B,8.1x,0.1,"CZK 3,000",0%
11,TOMA,Toma as,Prague,Consumer Non-Cyclicals,Consumer Goods Conglomerates,CZK 1.80B,5.4x,0.02,"CZK 1,350",0%
12,PVTP,RMS Mezzanine as,Prague,Financials,Investment Banking & Investment Services,CZK 1.15B,19.3x,7.78,CZK 1.08,0%
13,KARIN,Karo Invest as,Prague,Real Estate,Real Estate Operations,CZK 805M,,,CZK 161,0%
14,E4U,E4U as,Prague,Financials,Investment Banking & Investment Services,CZK 511.81M,11.3x,,CZK 214,0%
15,PINK,Pilulka Lekarny as,Prague,Consumer Non-Cyclicals,Food & Drug Retailing,CZK 473.67M,-2.2x,0.02,CZK 172,-1.7%
16,FIXED,FIXEDzone as,Prague,Technology,Electronic Equipment & Parts,CZK 344.41M,,,CZK 155,0%
17,EMAN,Eman,Prague,Technology,Software & IT Services,CZK 137.20M,14.9x,,CZK 70,0%
