1,ATW,Attijariwafa Bank,Casablanca,Financials,Banking Services,MAD 109.92B,13.4x,0.45,MAD 544.40,0.8%
2,IAM,Itissalat Al-Maghrib,Casablanca,Technology,Telecommunications Services,MAD 79.79B,64x,-0.83,MAD 90.80,0.9%
3,BCP,BCP,Casablanca,Financials,Banking Services,MAD 63.89B,18.3x,0.7,MAD 314.50,0.4%
4,BOA,Bmce Bank,Casablanca,Financials,Banking Services,MAD 40.71B,14.6x,0.68,MAD 195,1.6%
5,MNG,Managem,Casablanca,Basic Materials,Metals & Mining,MAD 32.51B,52.5x,-0.92,"MAD 2,740",0.4%
6,TQM,Taqa Morocco SA,Casablanca,Utilities,Electrical Utilities & IPPs,MAD 30.43B,28x,,"MAD 1,290",0%
7,MSA,Societe d’Exploitation des Ports,Casablanca,Industrials,Transport Infrastructure,MAD 27.37B,32.1x,7.44,MAD 372.95,-0.5%
8,CMA,Ciments Du Maroc,Casablanca,Basic Materials,Construction Materials,MAD 26.56B,27.4x,3.8,"MAD 1,840",0.6%
9,LHM,LafargeHolcim Maroc,Casablanca,Basic Materials,Construction Materials,MAD 20.40B,29.7x,2.6,"MAD 1,970",0%
10,CSR,Compagnie Sucrerie Marocaine,Casablanca,Consumer Non-Cyclicals,Food & Tobacco,MAD 17.76B,17.7x,0.78,MAD 188,-0.5%
11,WAA,Wafa Assurance,Casablanca,Financials,Insurance,MAD 14.35B,21.4x,-1.58,"MAD 4,100",0%
12,LBV,Label Vie,Casablanca,Consumer Non-Cyclicals,Food & Drug Retailing,MAD 13.25B,25.3x,-0.82,"MAD 4,580",0%
13,GAZ,Afriquia Gaz,Casablanca,Utilities,Natural Gas Utilities,MAD 13.23B,27.5x,-4.19,"MAD 3,850",0%
14,AKT,Akdital,Casablanca,Healthcare,Healthcare Providers & Services,MAD 13.03B,64x,,MAD 920.20,0%
15,TMA,Total Maroc SA,Casablanca,Energy,Oil & Gas,MAD 12.99B,258.5x,-2.86,"MAD 1,450",0%
16,ADH,Douja Prom Addoha,Casablanca,Real Estate,Real Estate Operations,MAD 12.23B,69.8x,0.18,MAD 30.60,1.5%
17,CIH,CIH,Casablanca,Financials,Banking Services,MAD 12.21B,15.8x,2.09,MAD 400,0%
18,TGC,Travaux Generaux De Construction,Casablanca,Industrials,Construction & Engineering,MAD 10.82B,27.9x,0.62,MAD 344,0.6%
19,CDM,CDM,Casablanca,Financials,Banking Services,MAD 10.12B,18.2x,0.21,MAD 930,0%
20,BCI,Marocaine pour le Commerce et l’Industrie Banque,Casablanca,Financials,Banking Services,MAD 8.30B,37.3x,-13.37,MAD 625,-0.3%
21,SAH,Sanlam Maroc,Casablanca,Financials,Insurance,MAD 7.95B,14.2x,0.02,"MAD 1,930",0%
22,ATL,Atlanta,Casablanca,Financials,Insurance,MAD 7.84B,18x,3.12,MAD 130,-0.8%
23,LES,Lesieur Cristal,Casablanca,Consumer Non-Cyclicals,Food & Tobacco,MAD 7.74B,"3,890x",-38.95,MAD 280,0%
24,SBM,Societe des Boissons du Maroc,Casablanca,Consumer Non-Cyclicals,Beverages,MAD 7.35B,11.5x,0.19,"MAD 2,599",0%
25,CFG,CFG Bank,Casablanca,,,MAD 7.04B,53.9x,0.25,MAD 174,0%
26,SOT,Marocaine Ste de Therapeutique,Casablanca,Healthcare,Pharmaceuticals,MAD 6.80B,25.9x,-18.86,MAD 945,0%
27,ARD,Aradei Capital,Casablanca,Real Estate,Real Estate Operations,MAD 5.98B,21.5x,1.1,MAD 508.90,-0.1%
28,ADI,Alliances,Casablanca,Real Estate,Real Estate Operations,MAD 5.51B,25.9x,,MAD 249.45,1.8%
29,DHO,Delta Holding S.A,Casablanca,Industrials,Construction & Engineering,MAD 4.51B,23.8x,1.7,MAD 51.50,1%
30,HPS,Hps,Casablanca,Technology,Software & IT Services,MAD 3.93B,39.2x,-2.04,MAD 530,0%
31,SMI,SMI,Casablanca,Basic Materials,Metals & Mining,MAD 3.62B,23.3x,,"MAD 2,200",-3.1%
32,RIS,Risma,Casablanca,Consumer Cyclicals,Hotels & Entertainment Services,MAD 3.41B,14x,0.23,MAD 237.80,-0%
33,ATH,Auto Hall,Casablanca,Consumer Cyclicals,Specialty Retailers,MAD 3.37B,122.6x,-1.68,MAD 67,-0.8%
34,SID,Ste Nationale de Siderurgie,Casablanca,Basic Materials,Metals & Mining,MAD 3.35B,51.5x,-2.14,MAD 860,0%
35,CMT,Miniere Touissit,Casablanca,Basic Materials,Metals & Mining,MAD 2.84B,13.5x,12.73,"MAD 1,690",1.2%
36,OUL,Les Eaux Minerales Oulmes,Casablanca,Consumer Non-Cyclicals,Beverages,MAD 2.77B,43.4x,8.72,"MAD 1,400",0%
37,MUT,Mutandis,Casablanca,Consumer Non-Cyclicals,Personal & Household Products & Services,MAD 2.42B,21.5x,1.61,MAD 262,-1.1%
38,RDS,Residences Dar Saada,Casablanca,Real Estate,Real Estate Operations,MAD 2.24B,-33x,3.46,MAD 85.49,1.9%
39,NEJ,Auto Nejma,Casablanca,Consumer Cyclicals,Specialty Retailers,MAD 2.12B,13.2x,-0.93,"MAD 2,068",0%
40,UMR,Unimer,Casablanca,Consumer Non-Cyclicals,Food & Tobacco,MAD 2.02B,-17.8x,,MAD 176.90,0%
41,EQD,Societe Equipement,Casablanca,Financials,Banking Services,MAD 1.90B,21.5x,,"MAD 1,138",0%
42,JET,Jet Contractors,Casablanca,Industrials,Construction & Engineering,MAD 1.86B,26.9x,,MAD 614,-0.7%
43,SLF,Salafin,Casablanca,Financials,Banking Services,MAD 1.77B,19.5x,2.64,MAD 567,0%
44,AGM,Agma Lahlou-Tazi,Casablanca,Financials,Insurance,MAD 1.35B,26x,,"MAD 6,767",0%
45,MAB,Maghrebail,Casablanca,Financials,Banking Services,MAD 1.34B,10.5x,1.49,MAD 968,0%
46,DWY,Disway,Casablanca,Technology,"Computers, Phones & Household Electronics",MAD 1.30B,19.3x,-0.85,MAD 688.80,3.6%
47,AFM,AFMA SA,Casablanca,Financials,Insurance,MAD 1.26B,20.9x,18.25,"MAD 1,255",0%
48,MLE,Maroc Leasing,Casablanca,Industrials,Professional & Commercial Services,MAD 1.15B,10.9x,,MAD 414.45,0%
49,SNP,Nationale d’Electrolyse et de Petrochimie Ste,Casablanca,Basic Materials,Chemicals,MAD 1.14B,-25.7x,0.13,MAD 500,-1.6%
50,DRI,Dari Couspate,Casablanca,Consumer Non-Cyclicals,Food & Tobacco,MAD 1.03B,29.4x,,"MAD 3,465",0%
51,NKL,Ennakl Automobiles SA,Casablanca,Consumer Cyclicals,Specialty Retailers,MAD 960M,7.3x,0.65,MAD 32,0%
52,PRO,Ste Promotion Pharmaceutique du Maghreb,Casablanca,Healthcare,Pharmaceuticals,MAD 952.80M,16.8x,-0.69,MAD 952.80,-0%
53,IMO,Immorente Invest,Casablanca,Financials,Collective Investments,MAD 836.66M,527.8x,-6.43,MAD 92.89,-0%
54,CTM,CTM,Casablanca,Industrials,Passenger Transportation Services,MAD 823.98M,17.5x,,MAD 672.10,-1.2%
55,COL,Colorado,Casablanca,Basic Materials,Chemicals,MAD 805.88M,21.3x,2.33,MAD 50,-3.8%
56,ALM,Aluminum du Maroc,Casablanca,Basic Materials,Metals & Mining,MAD 672.84M,100.9x,2.05,"MAD 1,444",0.2%
57,BAL,Balima,Casablanca,Real Estate,Real Estate Operations,MAD 383.68M,43.1x,-0.83,MAD 220,0%
58,M2M,M2M Group,Casablanca,Industrials,Professional & Commercial Services,MAD 290.33M,-19.6x,-0.35,MAD 448.20,0%
59,MIC,Micro Data SA,Casablanca,Technology,Software & IT Services,MAD 264.60M,4.6x,0.14,MAD 630,0%
60,DYT,Disty Tech,Casablanca,Consumer Cyclicals,Specialty Retailers,MAD 238.50M,12.5x,,MAD 236.10,-1.2%
61,MOX,Maghreb Oxygene,Casablanca,Basic Materials,Chemicals,MAD 182M,19.1x,-0.51,MAD 224,0%
62,SRM,Realis. Mecaniques,Casablanca,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",MAD 172.80M,-18.2x,0.04,MAD 540,10%
63,CRS,Cartier Saada,Casablanca,Consumer Non-Cyclicals,Food & Tobacco,MAD 157.95M,40x,,MAD 30,3.4%
64,FBR,Fenie Brossette,Casablanca,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",MAD 155.05M,21.5x,-0.3,MAD 107.75,10%
65,S2M,S2M,Casablanca,Industrials,Professional & Commercial Services,MAD 154.29M,7.8x,,MAD 190,0%
66,SNA,Stokvis Nord Afrique,Casablanca,Industrials,Diversified Industrial Goods Wholesale,MAD 113.19M,-0.9x,-0.03,MAD 12.31,9.9%
67,MDP,Med Paper,Casablanca,Basic Materials,Paper & Forest Products,MAD 100.46M,17.4x,-0.69,MAD 21,9.5%
68,AFI,Afric Industries Sa,Casablanca,Consumer Cyclicals,Homebuilding & Construction Supplies,MAD 91.24M,20.5x,-0.73,MAD 313,-0.3%
69,DLM,Delattre Levivier Maroc,Casablanca,Industrials,Construction & Engineering,MAD 70M,-0.5x,,MAD 40,0%
70,STR,Ste de Travaux de Realisation d’Ouvrages et de Con,Casablanca,Industrials,Construction & Engineering,MAD 55.75M,-1.4x,0.01,MAD 44.65,10%
71,ZDJ,Zellidja S.A,Casablanca,Basic Materials,Metals & Mining,MAD 48.69M,-6.4x,,MAD 85,0%
72,INV,Involys,Casablanca,Technology,Software & IT Services,MAD 33.63M,87.9x,0.09,MAD 87.88,0.1%
73,IBC,IB Maroc Com,Casablanca,Technology,Software & IT Services,MAD 12.90M,-0.8x,,MAD 30.90,0%
74,REB,Rebab Company,Casablanca,Basic Materials,Metals & Mining,MAD 12.33M,56.8x,,MAD 69.90,0%
