1,FNB,FirstRand Namibia,Namibia,Financials,Banking Services,NAD 1.23T,794.8x,,"NAD 4,644.29",0%
2,CGP,Capricorn Investment,Namibia,Financials,Banking Services,NAD 985.77B,694.8x,48.06,"NAD 1,949.70",0%
3,NBS,Namibia Breweries,Namibia,Consumer Non-Cyclicals,Beverages,NAD 609.18B,120.9x,0.15,"NAD 2,949.61",0%
4,ORY,Oryx Properties,Namibia,Real Estate,Real Estate Operations,NAD 136.68B,407.9x,18.83,"NAD 1,201.92",0%
5,AGR,Agra Ltd,Namibia,Consumer Non-Cyclicals,Food & Tobacco,NAD 37.38B,404.5x,,NAD 365.91,0%
6,MOC,Mobile Telecommunications,Namibia,Technology,Telecommunications Services,NAD 5.71B,7.4x,,NAD 760.81,-0.3%
7,SNO,SBN Holdings,Namibia,Financials,Banking Services,NAD 4.62B,5.8x,26.25,NAD 884.86,0%
8,LHN,Letshego Holdings,Namibia,Financials,Banking Services,NAD 2.29B,6.6x,,NAD 456.96,-1.9%
9,ANE,Alpha Namibia Industries Renewable,Namibia,Energy,Renewable Energy,NAD 648.94M,,40.52,NAD 898.65,10.9%
10,PNH,Paratus Namibia Holdings,Namibia,Financials,Investment Banking & Investment Services,NAD 618.67M,25.7x,64.54,"NAD 1,269.77",0%
11,NHL,Nictus Holdings Namibia,Namibia,Consumer Cyclicals,Specialty Retailers,NAD 118.60M,234.9x,8.5,NAD 221.93,0%
12,NAM,Namibia Asset Management,Namibia,Financials,Investment Banking & Investment Services,NAD 113.27M,,,NAD 71.98,0%
